0	1	23
0	3	12
0	4	22
0	6	13
0	7	23
0	8	30
0	9	11
0	11	29
0	12	15
0	14	30
1	4	27
1	5	28
1	6	28
1	8	28
1	10	28
1	13	26
1	14	25
2	3	15
2	8	21
2	10	29
2	14	25
3	6	30
3	10	29
3	13	16
3	15	13
4	8	19
4	10	30
4	11	20
4	12	27
4	13	28
5	6	25
5	7	23
5	8	23
5	9	25
5	10	25
5	12	21
5	13	13
6	7	10
6	10	10
6	11	30
6	13	21
7	8	21
7	9	30
7	10	16
7	11	11
7	12	23
7	13	23
8	9	16
8	11	25
8	12	13
8	13	20
8	14	21
8	15	20
9	11	28
10	11	12
10	12	20
10	14	16
10	15	11
11	15	23
12	14	26
12	15	17
13	15	22
30	26	34	21	37	28	29	27	27	40	29	35	36	21	31	36
